CVE ID,CWE ID,Name,Classification,Confidence,Abstraction,Notes
"CVE-2022-20226","CWE-862","Missing Authorization","Primary","0.50","Class","Secondary Candidate"
"CVE-2022-20376","CWE-416","Use After Free","Primary","0.90","Variant","Primary CWE. The vulnerability description explicitly mentions a **use after free**."
"CVE-2022-20376","CWE-667","Improper Locking","Primary","0.80","Class","Secondary CWE. The vulnerability description explicitly mentions **improper locking** as the cause of the **use after free**."
"CVE-2022-26097","CWE-476","NULL Pointer Dereference","Primary","1.00","Base","Primary CWE"
"CVE-2022-26097","CWE-787","Out-of-bounds Write","Primary","0.90","Base","Secondary CWE"
"CVE-2022-25786","CWE-420","Unprotected Alternate Channel","Primary","1.00","Base","Primary CWE"
"CVE-2022-25786","CWE-1299","Missing Protection Mechanism for Alternate Hardware Interface","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-45605","CWE-121","Stack-based Buffer Overflow","Primary","1.00","Variant","Primary CWE"
"CVE-2021-45605","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-45605","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.50","Class","Secondary Candidate"
"CVE-2022-3821","CWE-193","Off-by-one Error","Primary","0.90","Base","Primary CWE"
"CVE-2022-3821","CWE-787","Out-of-bounds Write","Primary","0.80","Base","Secondary CWE"
"CVE-2022-2459","CWE-863","**Incorrect Authorization**","Primary","0.90","Class","Allowed-with-Review"
"CVE-2022-2459","CWE-639","Authorization Bypass Through User-Controlled Key","Secondary","0.70","Base","Allowed"
"CVE-2022-2459","CWE-285","Improper Authorization","Secondary","0.60","Class","Discouraged"
"CVE-2022-26865","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Primary","0.90","Base","Primary CWE"
"CVE-2022-26865","CWE-287","Improper Authentication","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-29965","CWE-337","Predictable Seed in Pseudo-Random Number Generator (PRNG)","Primary","0.90","Variant","Allowed"
"CVE-2022-29965","CWE-335","Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG)","Secondary","0.70","Base","Allowed"
"CVE-2022-29965","CWE-330","Use of Insufficiently Random Values","Secondary","0.60","Class","Discouraged"
"CVE-2022-38769","CWE-312","Cleartext Storage of Sensitive Information","Primary","1.00","Base","Primary CWE"
"CVE-2022-38769","CWE-319","Cleartext Transmission of Sensitive Information","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-38769","CWE-256","Plaintext Storage of a Password","Primary","0.60","Base","Secondary Candidate"
"CVE-2022-25581","CWE-434","Unrestricted Upload of File with Dangerous Type","Primary","1.00","Base","Primary CWE"
"CVE-2022-25581","CWE-94","Improper Control of Generation of Code ('Code Injection')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-25581","CWE-646","Reliance on File Name or Extension of Externally-Supplied File","Primary","0.60","Variant","Secondary Candidate"
"CVE-2022-34152","CWE-20","Improper Input Validation","Primary","0.90","Class","Discouraged"
"CVE-2022-47345","CWE-862","Missing Authorization","Primary","0.90","Class","Allowed-with-Review"
"CVE-2022-47345","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Secondary","0.70","Base","Allowed"
"CVE-2022-38770","CWE-639","Authorization Bypass Through User-Controlled Key","Primary","0.90","Base","Primary CWE"
"CVE-2022-38770","CWE-863","Incorrect Authorization","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-38770","CWE-284","Improper Access Control","Secondary","0.50","Pillar","Secondary Candidate"
"CVE-2022-38770","CWE-287","Improper Authentication","Secondary","0.30","Class","Secondary Candidate"
"CVE-2022-0610","CWE-416","Use After Free","Primary","0.70","Variant","Primary CWE"
"CVE-2022-0610","CWE-787","Out-of-bounds Write","Primary","0.30","Base","Secondary CWE"
"CVE-2022-42827","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Primary CWE"
"CVE-2022-42827","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.50","Class","Secondary Candidate"
"CVE-2021-38692","CWE-121","Stack-based Buffer Overflow","Primary","1.00","Variant","Primary CWE"
"CVE-2021-38692","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-38692","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.50","Class","Secondary Candidate"
"CVE-2022-25865","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-25865","CWE-88","Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')","Primary","0.70","Base","Secondary CWE"
"CVE-2021-21948","CWE-190","Integer Overflow or Wraparound","Primary","1.00","Base","Primary CWE. The **root cause** of the vulnerability is an integer overflow when calculating the buffer size."
"CVE-2021-21948","CWE-122","Heap-based Buffer Overflow","Primary","1.00","Variant","Secondary CWE. The **integer overflow** leads to an undersized buffer being allocated; which then leads to a **heap-based buffer overflow** when data is written to it."
"CVE-2022-38512","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-31665","CWE-74","Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')","Primary","0.90","Class","Discouraged"
"CVE-2022-35535","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-20349","CWE-862","Missing Authorization","Primary","1.00","Class","Allowed-with-Review"
"CVE-2022-20349","CWE-732","Incorrect Permission Assignment for Critical Resource","Secondary","0.50","Class","Allowed-with-Review"
"CVE-2022-0795","CWE-843","Access of Resource Using Incompatible Type ('Type Confusion')","Primary","1.00","Base","Primary CWE"
"CVE-2022-0795","CWE-787","Out-of-bounds Write","Primary","0.50","Base","Secondary Candidate CWE"
"CVE-2022-0795","CWE-416","Use After Free","Primary","0.50","Variant","Secondary Candidate CWE"
"CVE-2022-26845","CWE-287","Improper Authentication","Primary","1.00","Class","Discouraged"
"CVE-2022-3315","CWE-843","Access of Resource Using Incompatible Type ('Type Confusion')","Primary","1.00","Base","Primary CWE"
"CVE-2022-3315","CWE-787","Out-of-bounds Write","Primary","0.50","Base","Secondary Candidate"
"CVE-2021-34473","CWE-918","Server-Side Request Forgery (SSRF)","Primary","0.90","Base","Primary CWE. The application is making a request to a server based on a URI provided by the user; but it does not properly validate that URI."
"CVE-2021-34473","CWE-20","Improper Input Validation","Secondary","0.60","Class","Secondary Candidate. The **rootcause** of the vulnerability is **improper input validation** of URIs; but CWE-918 is more specific."
"CVE-2022-25512","CWE-540","Inclusion of Sensitive Information in Source Code","Primary","1.00","Base","Primary CWE"
"CVE-2022-25512","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.70","Class","Secondary Candidate"
"CVE-2021-23329","CWE-1321","Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')","Primary","1.00","Variant","Primary CWE"
"CVE-2021-23329","CWE-915","Improperly Controlled Modification of Dynamically-Determined Object Attributes","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-30589","CWE-20","Improper Input Validation","Primary","0.90","Class","Discouraged"
"CVE-2021-30589","CWE-1022","Use of Web Link to Untrusted Target with window.opener Access","Secondary","0.40","Variant","Allowed"
"CVE-2022-41215","CWE-601","URL Redirection to Untrusted Site ('Open Redirect')","Primary","0.90","Base","Primary CWE: This CWE directly addresses the vulnerability where users are redirected to malicious sites due to insufficient URL validation."
"CVE-2022-41215","CWE-20","Improper Input Validation","Secondary","0.60","Class","Secondary CWE: While the description points to **insufficient URL validation**; which falls under input validation; it is a high-level classification. CWE-601 is more specific."
"CVE-2022-29587","CWE-250","Execution with Unnecessary Privileges","Primary","0.90","Base","Allowed"
"CVE-2022-29587","CWE-269","Improper Privilege Management","Secondary","0.70","Class","Discouraged"
"CVE-2022-23814","CWE-1262","Improper Access Control for Register Interface","Primary","0.90","Base","Allowed"
"CVE-2022-23814","CWE-20","Improper Input Validation","Secondary","0.60","Class","Discouraged"
"CVE-2022-22525","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","0.90","Base","Allowed"
"CVE-2022-22525","CWE-20","Improper Input Validation","Secondary","0.60","Class","Discouraged"
"CVE-2022-21705","CWE-1336","Improper Neutralization of Special Elements Used in a Template Engine","Primary","0.90","Base","Allowed"
"CVE-2022-21705","CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Secondary","0.70","Base","Allowed"
"CVE-2022-24595","CWE-863","Incorrect Authorization","Primary","0.90","Class","Primary"
"CVE-2022-24595","CWE-284","Improper Access Control","Secondary","0.60","Pillar","Secondary"
"CVE-2022-43396","CWE-184","Incomplete List of Disallowed Inputs","Primary","0.90","Base","Primary CWE"
"CVE-2022-43396","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","0.60","Base","Secondary CWE"
"CVE-2022-43844","CWE-284","Improper Access Control","Primary","0.90","Class","Allowed"
"CVE-2022-43844","CWE-613","Insufficient Session Expiration","Secondary","0.60","Base","Allowed"
"CVE-2022-32488","CWE-20","Improper Input Validation","Primary","0.90","Class","Discouraged"
"CVE-2022-32488","CWE-1274","Improper Access Control for Volatile Memory Containing Boot Code","Secondary","0.60","Base","Allowed"
"CVE-2022-26057","CWE-269","Improper Privilege Management","Primary","0.80","Class","Discouraged"
"CVE-2022-26057","CWE-250","Execution with Unnecessary Privileges","Secondary","0.70","Base","Allowed"
"CVE-2022-26057","CWE-732","Incorrect Permission Assignment for Critical Resource","Secondary","0.60","Class","Allowed-with-Review"
"CVE-2022-26057","CWE-379","Creation of Temporary File in Directory with Insecure Permissions","Secondary","0.50","Base","Allowed"
"CVE-2022-36375","CWE-284","Improper Access Control","Primary","0.80","Pillar","Discouraged"
"CVE-2022-36375","CWE-862","Missing Authorization","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-36375","CWE-639","Authorization Bypass Through User-Controlled Key","Secondary","0.60","Base","Allowed"
"CVE-2022-36375","CWE-425","Direct Request ('Forced Browsing')","Secondary","0.50","Base","Allowed"
"CVE-2022-4344","CWE-770","Allocation of Resources Without Limits or Throttling","Primary","0.90","Base","Primary CWE"
"CVE-2022-4344","CWE-400","Uncontrolled Resource Consumption","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-4344","CWE-789","Memory Allocation with Excessive Size Value","Primary","0.60","Variant","Secondary Candidate"
"CVE-2022-4344","CWE-1325","Improperly Controlled Sequential Memory Allocation","Primary","0.60","Base","Secondary Candidate"
"CVE-2021-45327","CWE-650","Trusting HTTP Permission Methods on the Server Side","Primary","0.90","Variant","Primary CWE"
"CVE-2021-45327","CWE-863","Incorrect Authorization","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-36799","CWE-1336","Improper Neutralization of Special Elements Used in a Template Engine","Primary","1.00","Base","Primary CWE"
"CVE-2022-36799","CWE-502","Deserialization of Untrusted Data","Primary","0.70","Base","Secondary CWE"
"CVE-2022-3729","CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","Primary","1.00","Base","Primary CWE: The application fails to properly sanitize user-supplied input; allowing an attacker to inject malicious SQL code."
"CVE-2022-3729","CWE-74","Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')","Secondary","0.70","Class","Secondary CWE: The application fails to neutralize or incorrectly neutralizes special elements that could modify the intended SQL command. While relevant; CWE-89 is more specific."
"CVE-2022-32525","CWE-120","Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')","Primary","1.00","Base","Allowed-with-Review"
"CVE-2022-32525","CWE-121","Stack-based Buffer Overflow","Secondary","0.80","Variant","Allowed"
"CVE-2022-32525","CWE-787","Out-of-bounds Write","Secondary","0.60","Base","Allowed"
"CVE-2022-23425","CWE-20","Improper Input Validation","Primary","0.90","Class","Discouraged"
"CVE-2022-23425","CWE-1284","Improper Validation of Specified Quantity in Input","Secondary","0.75","Base","Allowed"
"CVE-2022-22734","CWE-352","Cross-Site Request Forgery (CSRF)","Primary","1.00","Compound","Primary CWE"
"CVE-2022-22734","CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Primary","1.00","Base","Secondary Candidate"
"CVE-2021-30350","CWE-1284","Improper Validation of Specified Quantity in Input","Primary","0.80","Base","Primary CWE"
"CVE-2021-30350","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-20529","CWE-1021","Improper Restriction of Rendered UI Layers or Frames","Primary","0.90","Base","Primary CWE"
"CVE-2022-20529","CWE-862","Missing Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2021-3560","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Primary","0.85","Base","Primary CWE"
"CVE-2021-3560","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Primary","0.65","Base","Secondary Candidate"
"CVE-2021-3560","CWE-754","Improper Check for Unusual or Exceptional Conditions","Primary","0.50","Class","Secondary Candidate"
"CVE-2022-26486","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-34907","CWE-798","Use of Hard-coded Credentials","Primary","1.00","Base","Allowed"
"CVE-2022-34907","CWE-290","Authentication Bypass by Spoofing","Secondary","0.75","Base","Allowed"
"CVE-2022-30734","CWE-532","Insertion of Sensitive Information into Log File","Primary","1.00","Base","Allowed"
"CVE-2022-30734","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.50","Class","Discouraged"
"CVE-2022-32430","CWE-285","Improper Authorization","Primary","0.75","Class","Allowed-with-Review; selecting the parent because more specific information is not available."
"CVE-2021-30860","CWE-190","Integer Overflow or Wraparound","Primary","1.00","Base","Primary CWE"
"CVE-2021-30860","CWE-20","Improper Input Validation","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-34573","CWE-425","Direct Request ('Forced Browsing')","Primary","0.90","Base","Primary CWE: The vulnerability allows direct access to a restricted page without proper authorization."
"CVE-2022-34573","CWE-306","Missing Authentication for Critical Function","Primary","0.70","Base","Secondary CWE: The `mb_wifibasic.shtml` page lacks any authentication mechanism; making it directly accessible."
"CVE-2022-39885","CWE-284","Improper Access Control","Primary","0.90","Pillar","Discouraged"
"CVE-2022-39885","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Secondary","0.70","Base","Allowed"
"CVE-2022-39885","CWE-285","Improper Authorization","Secondary","0.60","Class","Discouraged"
"CVE-2021-26370","CWE-1285","Improper Validation of Specified Index; Position; or Offset in Input","Primary","0.90","Base","Primary CWE"
"CVE-2021-26370","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-26370","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.60","Class","Secondary Candidate"
"CVE-2021-42724","CWE-787","Out-of-bounds Write","Primary","0.90","Base","Primary CWE"
"CVE-2021-42724","CWE-788","Access of Memory Location After End of Buffer","Secondary","0.60","Base","Secondary Candidate"
"CVE-2022-32266","CWE-367","Time-of-check Time-of-use (TOCTOU) Race Condition","Primary","0.90","Base","Primary CWE. The **DMA attacks on the parameter buffer** lead to a **TOCTOU race condition** on the SMI handler."
"CVE-2022-32266","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary CWE. The **DMA attacks on the parameter buffer** used by a software SMI handler could lead to corruption of other ACPI fields and adjacent memory fields."
"CVE-2022-22816","CWE-126","Buffer Over-read","Primary","1.00","Variant","Primary CWE"
"CVE-2022-22816","CWE-665","Improper Initialization","Primary","0.70","Class","Secondary CWE"
"CVE-2021-0168","CWE-20","Improper Input Validation","Primary","0.75","Class","Discouraged"
"CVE-2021-0168","CWE-1288","Improper Validation of Consistency within Input","Secondary","0.60","Base","Allowed"
"CVE-2021-0168","CWE-1285","Improper Validation of Specified Index; Position; or Offset in Input","Secondary","0.50","Base","Allowed"
"CVE-2022-36893","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-36893","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","0.40","Base","Secondary Candidate"
"CVE-2022-48302","CWE-862","Missing Authorization","Primary","0.90","Class","Primary CWE"
"CVE-2022-48302","CWE-285","Improper Authorization","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-48302","CWE-287","Improper Authentication","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-32540","CWE-319","Cleartext Transmission of Sensitive Information","Primary","0.90","Base","Allowed"
"CVE-2022-32540","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.60","Class","Discouraged"
"CVE-2022-24783","CWE-863","Incorrect Authorization","Primary","0.90","Class","Primary CWE"
"CVE-2022-24783","CWE-269","Improper Privilege Management","Secondary","0.70","Base","Secondary Candidate"
"CVE-2022-28491","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-28491","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Primary","0.50","Class","Secondary Candidate"
"CVE-2022-0609","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-30749","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Primary","0.75","Base","Primary CWE"
"CVE-2022-30749","CWE-306","Missing Authentication for Critical Function","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-30749","CWE-863","Incorrect Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-29212","CWE-617","Reachable Assertion","Primary","0.90","Base","Allowed"
"CVE-2022-29212","CWE-1284","Improper Validation of Specified Quantity in Input","Secondary","0.70","Base","Allowed"
"CVE-2022-29212","CWE-703","Improper Check or Handling of Exceptional Conditions","Secondary","0.60","Pillar","Discouraged"
"CVE-2021-0964","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2021-0964","CWE-122","Heap-based Buffer Overflow","Secondary","0.80","Variant","Allowed"
"CVE-2021-3622","CWE-121","Stack-based Buffer Overflow","Primary","0.95","Variant","Primary CWE"
"CVE-2021-3622","CWE-674","Uncontrolled Recursion","Primary","0.80","Class","Secondary Candidate"
"CVE-2022-34362","CWE-113","Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting')","Primary","0.90","Variant","Allowed"
"CVE-2022-34362","CWE-20","Improper Input Validation","Secondary","0.70","Class","Discouraged"
"CVE-2022-3590","CWE-367","Time-of-check Time-of-use (TOCTOU) Race Condition","Primary","1.00","Base","Primary CWE"
"CVE-2022-3590","CWE-918","Server-Side Request Forgery (SSRF)","Primary","0.70","Base","Secondary CWE"
"CVE-2022-3590","CWE-362","Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')","Primary","0.60","Class","Secondary CWE"
"CVE-2021-31576","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-39838","CWE-98","Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')","Primary","0.90","Variant","Primary CWE: The application allows **remote file inclusion** via a UNC share pathname."
"CVE-2022-39838","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","0.90","Base","Secondary CWE: The application also allows absolute path traversal to local pathnames."
"CVE-2022-39838","CWE-73","External Control of File Name or Path","Primary","0.70","Base","The product allows user input to control or influence paths or file names that are used in filesystem operations."
"CVE-2022-47933","CWE-248","Uncaught Exception","Primary","1.00","Base","Primary CWE"
"CVE-2022-47933","CWE-755","Improper Handling of Exceptional Conditions","Secondary","0.70","Class","Secondary Candidate"
"CVE-2021-1256","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","1.00","Base","Primary CWE"
"CVE-2021-1256","CWE-20","Improper Input Validation","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-36536","CWE-341","Predictable from Observable State","Primary","0.90","Base","Primary CWE. The session tokens are generated based on the current date and time; making them easily brute-forceable."
"CVE-2022-36536","CWE-613","Insufficient Session Expiration","Primary","0.70","Base","Secondary CWE. The vulnerability involves the creation of session tokens that do not expire correctly; allowing attackers to potentially reuse old session credentials."
"CVE-2022-24314","CWE-125","Out-of-bounds Read","Primary","1.00","Base","Primary CWE"
"CVE-2022-24314","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-35477","CWE-416","Use After Free","Primary","0.80","Base","Primary CWE"
"CVE-2022-35477","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.50","Class","Secondary Candidate"
"CVE-2022-47453","CWE-234","Failure to Handle Missing Parameter","Primary","0.75","Variant","Discouraged"
"CVE-2022-25151","CWE-1004","Sensitive Cookie Without 'HttpOnly' Flag","Primary","1.00","Variant","Primary CWE"
"CVE-2022-25151","CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Primary","0.70","Base","Secondary CWE"
"CVE-2022-3448","CWE-416","Use After Free","Primary","1.00","Variant","Allowed"
"CVE-2021-36317","CWE-256","Plaintext Storage of a Password","Primary","1.00","Base","Primary CWE"
"CVE-2021-36317","CWE-312","Cleartext Storage of Sensitive Information","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-29279","CWE-822","Untrusted Pointer Dereference","Primary","0.90","Base","Allowed"
"CVE-2022-29279","CWE-787","Out-of-bounds Write","Secondary","0.70","Base","Allowed"
"CVE-2022-29279","CWE-416","Use After Free","Secondary","0.60","Variant","Allowed"
"CVE-2021-26259","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Primary CWE"
"CVE-2021-26259","CWE-1284","Improper Validation of Specified Quantity in Input","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-0179","CWE-862","Missing Authorization","Primary","0.90","Class","Allowed-with-Review"
"CVE-2022-0179","CWE-284","Improper Access Control","Secondary","0.60","Pillar","Discouraged"
"CVE-2021-44397","CWE-1287","Improper Validation of Specified Type of Input","Primary","0.90","Base","Allowed"
"CVE-2021-44397","CWE-20","Improper Input Validation","Secondary","0.70","Class","Discouraged"
"CVE-2022-41181","CWE-770","Allocation of Resources Without Limits or Throttling","Primary","0.70","Base","Primary CWE"
"CVE-2022-41181","CWE-404","Improper Resource Shutdown or Release","Primary","0.50","Class","Secondary Candidate"
"CVE-2022-41181","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.40","Class","Secondary Candidate"
"CVE-2021-40892","CWE-1333","Inefficient Regular Expression Complexity","Primary","1.00","Base","Primary CWE"
"CVE-2021-40892","CWE-407","Inefficient Algorithmic Complexity","Primary","0.70","Class","Secondary CWE"
"CVE-2022-31221","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Primary","0.90","Class","Discouraged: CWE-200 is commonly misused to represent the loss of confidentiality in a vulnerability; but confidentiality loss is a technical impact - not a root cause error."
"CVE-2022-31221","CWE-497","Exposure of Sensitive System Information to an Unauthorized Control Sphere","Secondary","0.70","Base","Allowed"
"CVE-2021-40823","CWE-322","Key Exchange without Entity Authentication","Primary","0.85","Base","Primary CWE"
"CVE-2021-40823","CWE-290","Authentication Bypass by Spoofing","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-40823","CWE-863","Incorrect Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-20479","CWE-770","Allocation of Resources Without Limits or Throttling","Primary","0.90","Base","Primary CWE"
